id,skill,category
1,フルスタックエンジニア,経験分野・業務
2,バックエンドエンジニア,経験分野・業務
3,フロントエンドエンジニア,経験分野・業務
4,ネットワーク・インフラ,経験分野・業務
5,モバイルアプリ,経験分野・業務
6,機械学習,経験分野・業務
7,ディープラーニング（深層学習）,経験分野・業務
8,ブロックチェーン,経験分野・業務
9,ロボティクス,経験分野・業務
10,AR・VR,経験分野・業務
11,ビッグデータ,経験分野・業務
12,自然言語処理,経験分野・業務
13,IoT,経験分野・業務
14,自動運転,経験分野・業務
15,eコマース,経験分野・業務
16,アジャイル開発,経験分野・業務
17,スクラム開発,経験分野・業務
18,.NET,プログラミング言語
19,C,プログラミング言語
20,C#,プログラミング言語
21,C++,プログラミング言語
22,Chef,クラウド・インフラ・DevOpsツール
23,Clojure,プログラミング言語
24,Docker,クラウド・インフラ・DevOpsツール
25,Elasticsearch,クラウド・インフラ・DevOpsツール
26,Electron,プログラミング言語
27,Elixir,プログラミング言語
28,Erlang,プログラミング言語
29,Git,開発ツール
30,Go,プログラミング言語
31,Hadoop,データ分析・機械学習
32,Haskell,プログラミング言語
33,Java,プログラミング言語
34,JavaScript,プログラミング言語
35,Jenkins,プログラミング言語
36,Kotlin,プログラミング言語
37,Nagios,クラウド・インフラ・DevOpsツール
38,Node.js,ライブラリ・フレームワーク
39,Objective-C,プログラミング言語
40,Perl,プログラミング言語
41,PHP,プログラミング言語
42,Python,プログラミング言語
43,R,プログラミング言語
44,Rust,プログラミング言語
45,Ruby,プログラミング言語
46,Scala,プログラミング言語
47,Solr,プログラミング言語
48,Spark,プログラミング言語
49,Subversion,開発ツール
50,Swift,プログラミング言語
51,Tensorflow,データ分析・機械学習
52,Treasure Data,データ分析・機械学習
53,TypeScript,プログラミング言語
54,Unity,デザイン・グラフィック・クリエイティブツール
55,Vue.js,ライブラリ・フレームワーク
56,Windows Server,サーバ・ミドルウェア
57,Zabbix,クラウド・インフラ・DevOpsツール
58,LAMP,サーバ・ミドルウェア
59,Matlab,プログラミング言語
60,SAP,プログラミング言語
61,VBA,プログラミング言語
62,FuelPHP,ライブラリ・フレームワーク
63,MongoDB,データベース
64,React,ライブラリ・フレームワーク
65,Ruby on Rails,ライブラリ・フレームワーク
66,Angular,ライブラリ・フレームワーク
67,JQuery,ライブラリ・フレームワーク
68,CakePHP,ライブラリ・フレームワーク
69,Symfony,ライブラリ・フレームワーク
70,Django,ライブラリ・フレームワーク
71,Flask,ライブラリ・フレームワーク
72,Laravel,ライブラリ・フレームワーク
73,Sinatra,ライブラリ・フレームワーク
74,Oracle データベース,データベース
75,Microsoft SQL Server,データベース
76,PostgreSQL,データベース
77,MySQL,データベース
78,DB2,データベース
79,iOS,OS
80,Android,OS
81,Linux,OS
82,Solaris,OS
83,BSD,OS
84,Ansible,サーバ・ミドルウェア
85,Nginx,サーバ・ミドルウェア
86,Memcached,サーバ・ミドルウェア
87,Redis,サーバ・ミドルウェア
88,AWS,クラウド・インフラ・DevOpsツール
89,Azure,クラウド・インフラ・DevOpsツール
90,Google Cloud Platform（GCP）,クラウド・インフラ・DevOpsツール
91,Sales Force,オフィスツール
92,Tableau,オフィスツール
93,Word,オフィスツール
94,Excel,オフィスツール
95,PowerPoint,オフィスツール
96,Access,オフィスツール
97,Photoshop,Webデザイン・クリエイティブ系
98,Illustrator,Webデザイン・クリエイティブ系
99,HTML,Webデザイン・クリエイティブ系
100,CSS,Webデザイン・クリエイティブ系
101,QuarkXpress,Webデザイン・クリエイティブ系
102,Dreamweaver,Webデザイン・クリエイティブ系
103,Fireworks,Webデザイン・クリエイティブ系
104,Flash,Webデザイン・クリエイティブ系
105,Director,Webデザイン・クリエイティブ系
106,InDesign,Webデザイン・クリエイティブ系
107,CSS3,Webデザイン・クリエイティブ系
108,HTML5,Webデザイン・クリエイティブ系
109,CAD,Webデザイン・クリエイティブ系
110,3DCG,Webデザイン・クリエイティブ系
111,Adobe XD,Webデザイン・クリエイティブ系
112,Prott,Webデザイン・クリエイティブ系
113,Sketch,Webデザイン・クリエイティブ系
114,Zeplin,Webデザイン・クリエイティブ系
115,Figma,Webデザイン・クリエイティブ系
116,プロジェクト全体の管理,マネジメント・システムプロジェクト経験
117,メンバーマネジメント,マネジメント・システムプロジェクト経験
118,テックリード,マネジメント・システムプロジェクト経験
119,要件定義,マネジメント・システムプロジェクト経験
120,基本設計,マネジメント・システムプロジェクト経験
121,詳細設計,マネジメント・システムプロジェクト経験
122,データ解析,マネジメント・システムプロジェクト経験
123,その他,マネジメント・システムプロジェクト経験
124,Bootstrap,ライブラリ・フレームワーク
125,GitHub,クラウド・インフラ・DevOpsツール
126,Ansible,クラウド・インフラ・DevOpsツール
127,Unix,OS
128,SQLite,データベース
129,Redux,ライブラリ・フレームワーク
130,Express,ライブラリ・フレームワーク
131,CircleCI,クラウド・インフラ・DevOpsツール
132,explipse,開発ツール
133,Keras,ライブラリ・フレームワーク
134,Maya,ライブラリ・フレームワーク
135,React Native,ライブラリ・フレームワーク
136,Tomcat,サーバ・ミドルウェア
137,Spring,ライブラリ・フレームワーク
138,SQL Server,データベース
139,Terraform,クラウド・インフラ・DevOpsツール
140,Apex,プログラミング言語
141,PyTorch,ライブラリ・フレームワーク
142,Shell Script,プログラミング言語
143,3dsMax,開発ツール
144,データベース設計・管理,経験分野・業務
145,Visual Studio Code,開発ツール
146,CentOS,OS
147,RedHat,OS
148,Ubuntu,OS
149,nuxt.js,ライブラリ・フレームワーク
150,next.js,ライブラリ・フレームワーク
151,Processing,プログラミング言語
152,Pascal,プログラミング言語
153,LISP,プログラミング言語
154,Lua,プログラミング言語
155,Groovy,プログラミング言語
156,FORTRAN,プログラミング言語
157,BASIC,プログラミング言語
158,Mathematica,プログラミング言語
159,Bash,プログラミング言語
160,PowerShell,プログラミング言語
161,Smalltalk,プログラミング言語
162,VisualBasic,プログラミング言語
163,VisualC++,開発ツール
164,VisualJ#,開発ツール
165,Visual Basic .NET,プログラミング言語
166,Visual C# .NET,開発ツール
167,ASP.NET,ライブラリ・フレームワーク
168,Delphi,開発ツール
169,Coldfusion,ライブラリ・フレームワーク
170,XML,プログラミング言語
171,COBOL,プログラミング言語
172,Dart,プログラミング言語
173,Kubernetes,クラウド・インフラ・DevOpsツール
174,Vagrant,クラウド・インフラ・DevOpsツール
175,Webpack,開発ツール
176,Babel,開発ツール
177,gRPC,ライブラリ・フレームワーク
178,SRE,経験分野・業務
179,DevOps,経験分野・業務
180,Flutter,ライブラリ・フレームワーク
181,Chainer,データ分析・機械学習
182,scikit-learn,データ分析・機械学習
183,StatsModel,データ分析・機械学習
184,Anaconda,データ分析・機械学習
185,Caffe,データ分析・機械学習
186,Jupyter,データ分析・機械学習
187,GraphQL,ライブラリ・フレームワーク
188,セキュリティ,経験分野・業務
189,Selenium,テスティングツール・フレームワーク
190,Cypress,テスティングツール・フレームワーク
191,Appium,テスティングツール・フレームワーク
192,Autify,テスティングツール・フレームワーク
193,UiPath,テスティングツール・フレームワーク
194,RPA,経験分野・業務
195,品質保証,経験分野・業務
196,SQL,プログラミング言語